07/17/2023 14:54:50,1,0
07/18/2023 14:55:02,2,0
07/19/2023 14:55:52,1,0
07/20/2023 09:44:38,5,0
07/20/2023 09:47:18,10,0
07/20/2023 09:48:00,11,0
07/20/2023 09:50:29,12,0
07/20/2023 09:50:30,14,0
07/20/2023 09:50:32,17,0
07/20/2023 09:51:08,18,0
07/20/2023 09:51:10,20,0
07/20/2023 09:51:12,23,0
07/20/2023 09:51:29,24,0
07/20/2023 09:51:30,26,0
07/20/2023 09:51:32,29,0
07/20/2023 10:22:20,0,0
07/20/2023 10:27:01,0,0
07/20/2023 10:27:24,0,0
08/03/2023 11:32:45,0,1
08/03/2023 12:06:41,1,1
08/03/2023 12:13:35,1,2
08/03/2023 12:13:37,1,3
08/03/2023 12:19:32,2,3
08/03/2023 12:19:33,3,3
08/03/2023 12:19:35,5,3
08/03/2023 16:18:31,5,4
08/03/2023 16:18:32,5,5
08/03/2023 16:18:33,5,7
08/03/2023 16:18:33,5,10
08/03/2023 16:18:34,5,14
08/03/2023 16:18:35,5,19
08/03/2023 16:18:50,5,20
08/03/2023 16:18:51,5,21
08/03/2023 16:18:52,5,23
08/03/2023 16:18:52,5,26
08/03/2023 16:18:53,5,30
08/03/2023 16:18:53,5,35
08/03/2023 16:18:54,5,41
08/10/2023 12:26:29,50,0
08/10/2023 12:26:33,50,50
